#    ncycle     time           dt             m1             m2             x              y              z              vx             vy             vz             agas1x          agas1y          agas1z          agas2x          agas2y          agas2z          xcom            ycom            zcom            vxcom            vycom            vzcom            lpz             lgz             ldoz            Eorb            mb              mu              
                   0        0.000000e+00        1.601917e-05        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        7.569734e-17       -7.128166e-16        3.333817e-07        7.658480e-02        4.101843e-21        1.123402e-01        6.840948e-02       -2.345948e-16       -3.225642e-02        8.344300e-06        1.460357e-05
                  32        1.031714e-02        3.636566e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17        9.840654e-16        3.333817e-07        7.658480e-02       -4.237294e-17        1.123402e-01        6.840946e-02       -1.546162e-13       -3.225642e-02        8.356918e-06        1.460357e-05
                  59        2.013430e-02        3.635729e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        7.569734e-17        5.078030e-16        3.333817e-07        7.658480e-02       -8.016040e-17        1.123402e-01        6.840945e-02       -2.936854e-13       -3.225642e-02        8.364839e-06        1.460357e-05
                  87        3.031407e-02        3.635592e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17       -1.513947e-16        3.333817e-07        7.658480e-02       -1.186852e-16        1.123402e-01        6.840943e-02       -4.348803e-13       -3.225642e-02        8.371742e-06        1.460357e-05
                 114        4.013033e-02        3.635739e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17       -4.857246e-16        3.333817e-07        7.658480e-02       -1.545086e-16        1.123402e-01        6.840941e-02       -5.681893e-13       -3.225642e-02        8.379292e-06        1.460357e-05
                 142        5.031072e-02        3.635989e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        5.046489e-17       -8.389789e-16        3.333817e-07        7.658480e-02       -1.914233e-16        1.123402e-01        6.840940e-02       -7.035554e-13       -3.225642e-02        8.389698e-06        1.460357e-05
                 169        6.012827e-02        3.636295e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17       -1.138614e-15        3.333817e-07        7.658480e-02       -2.248858e-16        1.123402e-01        6.840938e-02       -8.313695e-13       -3.225642e-02        8.403900e-06        1.460357e-05
                 197        7.031038e-02        3.636656e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17        1.365706e-15        3.333817e-07        7.658480e-02       -2.597129e-16        1.123402e-01        6.840936e-02       -9.611597e-13       -3.225642e-02        8.429249e-06        1.460357e-05
                 224        8.012985e-02        3.637049e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        7.569734e-17       -7.412031e-16        3.333817e-07        7.658480e-02       -2.908607e-16        1.123402e-01        6.840935e-02       -1.083712e-12       -3.225642e-02        8.469235e-06        1.460357e-05
                 252        9.031420e-02        3.637508e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        7.569734e-17        3.090975e-16        3.333817e-07        7.658480e-02       -3.237935e-16        1.123402e-01        6.840933e-02       -1.208161e-12       -3.225642e-02        8.530841e-06        1.460357e-05
